Name,Key,Jira Link
360 QTel,VD360QTEL,https://trilogy-eng.atlassian.net/browse/VD360QTEL
@Hand,HAND,https://trilogy-eng.atlassian.net/browse/HAND
A&I IVP,IVP,https://trilogy-eng.atlassian.net/browse/IVP
Aardvark,AAR,https://trilogy-eng.atlassian.net/browse/AAR
Accuris eServer,ACCURIS,https://trilogy-eng.atlassian.net/browse/ACCURIS
Acorn PA5G/AAA,ACID,https://trilogy-eng.atlassian.net/browse/ACID
ACRM Pad,CRMPAD,https://trilogy-eng.atlassian.net/browse/CRMPAD
ACRM Web,CRM,https://trilogy-eng.atlassian.net/browse/CRM
AESCIS,AESCIS,https://trilogy-eng.atlassian.net/browse/AESCIS
AESEDI,AESEDI,https://trilogy-eng.atlassian.net/browse/AESEDI
Agemni CMS,AGEMCMS,https://trilogy-eng.atlassian.net/browse/AGEMCMS
Agemni SatTrack,AGEMSAT,https://trilogy-eng.atlassian.net/browse/AGEMSAT
AI Virtual Data Room,AIVDR,https://trilogy-eng.atlassian.net/browse/AIVDR
aLine SaaS Ops,ALINES,https://trilogy-eng.atlassian.net/browse/ALINES
ALP,ALP,https://trilogy-eng.atlassian.net/browse/ALP
ALP Tempo,PULSE,https://trilogy-eng.atlassian.net/browse/PULSE
Alpha Product,ALPHA,https://trilogy-eng.atlassian.net/browse/ALPHA
AnswerHub,ANSWER,https://trilogy-eng.atlassian.net/browse/ANSWER
Architecture,ARCH,https://trilogy-eng.atlassian.net/browse/ARCH
Archiver,GFIA,https://trilogy-eng.atlassian.net/browse/GFIA
Aurea CDP,ACDP,https://trilogy-eng.atlassian.net/browse/ACDP
Aurea Messenger,SONIC,https://trilogy-eng.atlassian.net/browse/SONIC
Aurea Monitor,ACTA,https://trilogy-eng.atlassian.net/browse/ACTA
Aurea Process,SBM,https://trilogy-eng.atlassian.net/browse/SBM
Aurea Solutions,AS,https://trilogy-eng.atlassian.net/browse/AS
Avolin Automation Services,AAS,https://trilogy-eng.atlassian.net/browse/AAS
BiznessApps,BIZAPPS,https://trilogy-eng.atlassian.net/browse/BIZAPPS
Bonzai Intranet,BOINT,https://trilogy-eng.atlassian.net/browse/BOINT
BryterCX Iris SaaS,BRYTERCX,https://trilogy-eng.atlassian.net/browse/BRYTERCX
Call Stream,CALLSTRM,https://trilogy-eng.atlassian.net/browse/CALLSTRM
Central,CENTRAL,https://trilogy-eng.atlassian.net/browse/CENTRAL
